BehaviorSpace results (NetLogo 5.0.4),,,,,,
forage_12_model.nlogo,,,,,,
E1-Survival,,,,,,
04/28/2014 16:17:05:293 -0700,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,
-40,40,-40,40,,,
[run number],max-seed-val,num-patches,hed-eud,init-si,[step],sum [energy] of foragers
3,5,5,0,1,102,47.14039676
1,5,5,0,1,102,43.88359011
4,5,5,0,2,102,75.44908539
2,5,5,0,1,102,63.42302646
6,5,5,0,2,102,60.32971237
5,5,5,0,2,102,47.29679508
7,5,5,0,3,102,66.02369009
8,5,5,0,3,102,85.2984201
9,5,5,0,3,102,48.1127102
11,5,5,0,4,102,62.13138959
10,5,5,0,4,102,64.72802152
12,5,5,0,4,102,41.06123047
14,5,5,0,5,102,51.82301792
13,5,5,0,5,102,61.38865798
15,5,5,0,5,102,41.78939492
16,5,5,0,6,102,28.83529386
18,5,5,0,6,102,27.44964
17,5,5,0,6,102,57.85901845
19,5,5,0,7,102,64.48708425
21,5,5,0,7,102,84.77603142
22,5,5,0,8,102,66.6481453
23,5,5,0,8,102,49.64620492
20,5,5,0,7,102,67.81752727
24,5,5,0,8,102,69.43117215
25,5,5,0,9,102,51.96234401
26,5,5,0,9,102,48.43424369
27,5,5,0,9,102,47.82190684
28,5,5,0,10,102,55.28083445
30,5,5,0,10,102,49.13273703
29,5,5,0,10,102,48.64851919
31,5,10,0,1,102,67.42293371
32,5,10,0,1,102,57.62054904
34,5,10,0,2,102,76.00573602
33,5,10,0,1,102,73.11415353
35,5,10,0,2,102,63.66671048
36,5,10,0,2,102,91.08750545
37,5,10,0,3,102,55.9336966
38,5,10,0,3,102,67.78914645
39,5,10,0,3,102,41.15620621
40,5,10,0,4,102,61.55879999
41,5,10,0,4,102,83.86833402
42,5,10,0,4,102,58.53216221
44,5,10,0,5,102,47.02917097
45,5,10,0,5,102,61.3581195
46,5,10,0,6,102,78.60809308
43,5,10,0,5,102,53.01289232
47,5,10,0,6,102,88.89944811
48,5,10,0,6,102,80.14087487
49,5,10,0,7,102,103.2243479
50,5,10,0,7,102,115.8576992
51,5,10,0,7,102,80.06773791
52,5,10,0,8,102,67.50127565
53,5,10,0,8,102,63.36328164
54,5,10,0,8,102,70.71444615
55,5,10,0,9,102,69.52023611
57,5,10,0,9,102,54.78017259
56,5,10,0,9,102,55.02003956
58,5,10,0,10,102,55.87345236
59,5,10,0,10,102,56.50128688
61,5,15,0,1,102,92.04742314
60,5,10,0,10,102,55.61975746
62,5,15,0,1,102,91.84452667
63,5,15,0,1,102,94.21523012
65,5,15,0,2,102,76.42476786
64,5,15,0,2,102,62.92308495
67,5,15,0,3,102,84.12888393
68,5,15,0,3,102,85.86480651
69,5,15,0,3,102,58.98194862
66,5,15,0,2,102,63.87634831
70,5,15,0,4,102,74.61050812
71,5,15,0,4,102,60.51861768
72,5,15,0,4,102,75.45793807
73,5,15,0,5,102,56.3190541
74,5,15,0,5,103,88.1266604
75,5,15,0,5,102,83.50969922
76,5,15,0,6,102,89.96216333
77,5,15,0,6,102,58.59900503
78,5,15,0,6,102,77.80969137
79,5,15,0,7,102,95.90263021
80,5,15,0,7,102,76.20750796
81,5,15,0,7,103,77.66539883
82,5,15,0,8,104,132.5591166
83,5,15,0,8,102,84.17088793
84,5,15,0,8,103,129.955968
85,5,15,0,9,102,43.82657421
86,5,15,0,9,102,64.72085681
87,5,15,0,9,105,66.5680334
88,5,15,0,10,102,77.40929457
90,5,15,0,10,102,64.31048368
89,5,15,0,10,102,63.74470953
91,5,20,0,1,104,96.71723647
92,5,20,0,1,102,108.0648034
93,5,20,0,1,103,117.5705863
95,5,20,0,2,105,87.10585476
96,5,20,0,2,105,75.16399175
94,5,20,0,2,102,67.77286104
97,5,20,0,3,102,50.71655285
98,5,20,0,3,103,109.0929548
99,5,20,0,3,102,75.28557697
100,5,20,0,4,106,74.94743178
101,5,20,0,4,109,92.31141657
102,5,20,0,4,105,85.38189659
103,5,20,0,5,111,114.4764255
104,5,20,0,5,102,105.3357105
105,5,20,0,5,102,88.06092009
107,5,20,0,6,102,133.5699375
106,5,20,0,6,115,112.8984186
108,5,20,0,6,102,75.47012101
109,5,20,0,7,102,73.95591396
110,5,20,0,7,102,62.08209709
111,5,20,0,7,102,62.47322219
112,5,20,0,8,102,52.59793151
113,5,20,0,8,102,70.67462919
114,5,20,0,8,102,73.73969168
115,5,20,0,9,102,93.8867775
117,5,20,0,9,102,99.23005537
118,5,20,0,10,103,75.91666904
119,5,20,0,10,104,94.85378531
116,5,20,0,9,103,126.1867291
120,5,20,0,10,102,100.2278336
121,5,25,0,1,102,77.327283
122,5,25,0,1,108,111.6175134
123,5,25,0,1,104,95.74990011
124,5,25,0,2,102,91.79153935
125,5,25,0,2,102,89.4082409
126,5,25,0,2,103,99.40485446
127,5,25,0,3,102,75.28813293
128,5,25,0,3,103,91.43794334
129,5,25,0,3,102,95.04796429
130,5,25,0,4,102,58.87062964
131,5,25,0,4,106,87.15718585
132,5,25,0,4,105,80.2564531
133,5,25,0,5,102,84.41125241
134,5,25,0,5,110,116.790573
136,5,25,0,6,106,88.84381741
135,5,25,0,5,109,86.8380614
137,5,25,0,6,106,115.8633568
138,5,25,0,6,102,87.42627668
139,5,25,0,7,110,122.1117043
141,5,25,0,7,105,101.8242331
142,5,25,0,8,104,132.9270313
140,5,25,0,7,105,119.7188936
143,5,25,0,8,108,171.1839782
144,5,25,0,8,103,110.5138196
145,5,25,0,9,106,95.49646234
146,5,25,0,9,102,108.760043
147,5,25,0,9,103,105.3786802
148,5,25,0,10,102,107.166627
149,5,25,0,10,102,83.91491487
150,5,25,0,10,104,93.04906193
151,5,30,0,1,102,72.67447242
152,5,30,0,1,110,89.51706384
153,5,30,0,1,106,99.19919613
154,5,30,0,2,103,81.30320693
155,5,30,0,2,102,56.06984952
156,5,30,0,2,102,77.52808178
157,5,30,0,3,104,104.3158789
159,5,30,0,3,102,75.74703609
158,5,30,0,3,108,113.8369203
160,5,30,0,4,106,102.5899839
161,5,30,0,4,102,97.82502301
162,5,30,0,4,102,70.56427721
164,5,30,0,5,103,81.93011168
163,5,30,0,5,102,87.59049805
165,5,30,0,5,114,164.8536059
166,5,30,0,6,102,105.7530289
167,5,30,0,6,103,89.25178043
169,5,30,0,7,102,83.27354119
168,5,30,0,6,107,82.31487329
170,5,30,0,7,103,128.0151744
171,5,30,0,7,102,103.24134
172,5,30,0,8,106,75.10114667
173,5,30,0,8,102,84.11615942
174,5,30,0,8,107,68.81121279
175,5,30,0,9,105,97.68938206
176,5,30,0,9,105,88.70541635
177,5,30,0,9,108,111.3260547
178,5,30,0,10,114,96.02515984
179,5,30,0,10,113,114.6797159
180,5,30,0,10,105,97.79802902
181,10,5,0,1,102,133.3761712
182,10,5,0,1,102,114.2665754
183,10,5,0,1,102,121.0136845
184,10,5,0,2,102,87.61557402
186,10,5,0,2,102,136.844698
187,10,5,0,3,102,105.9998161
185,10,5,0,2,102,121.3018566
188,10,5,0,3,102,87.09228455
189,10,5,0,3,102,67.7005649
190,10,5,0,4,102,71.78209382
191,10,5,0,4,102,93.65331287
192,10,5,0,4,102,88.69399766
193,10,5,0,5,102,94.22346382
194,10,5,0,5,102,121.5702251
196,10,5,0,6,102,60.97904617
195,10,5,0,5,102,107.1753242
197,10,5,0,6,102,58.72184198
198,10,5,0,6,102,60.52318305
199,10,5,0,7,102,119.2671278
200,10,5,0,7,102,76.79621075
201,10,5,0,7,102,68.06331077
202,10,5,0,8,102,161.906882
203,10,5,0,8,102,91.80483237
204,10,5,0,8,102,115.427862
205,10,5,0,9,102,48.97272481
206,10,5,0,9,102,71.88664989
207,10,5,0,9,102,73.86145659
209,10,5,0,10,102,83.90168457
210,10,5,0,10,102,78.74144092
208,10,5,0,10,102,98.54799107
211,10,10,0,1,122,143.1070177
212,10,10,0,1,105,178.6484492
213,10,10,0,1,111,165.6927331
214,10,10,0,2,102,108.133308
215,10,10,0,2,102,134.0328411
216,10,10,0,2,102,135.4250302
217,10,10,0,3,102,156.4407545
219,10,10,0,3,102,115.9609971
218,10,10,0,3,106,94.59708519
220,10,10,0,4,103,96.4953328
221,10,10,0,4,102,113.050704
222,10,10,0,4,102,101.6981532
223,10,10,0,5,106,107.7681579
224,10,10,0,5,102,90.64602688
225,10,10,0,5,101,69.13860795
226,10,10,0,6,106,196.5659552
227,10,10,0,6,102,132.1244685
228,10,10,0,6,102,78.57183363
229,10,10,0,7,126,296.5667229
230,10,10,0,7,102,160.019419
232,10,10,0,8,107,209.4846431
231,10,10,0,7,122,251.8814494
233,10,10,0,8,113,169.6095173
234,10,10,0,8,105,153.776477
235,10,10,0,9,102,49.47471542
237,10,10,0,9,108,142.7931975
236,10,10,0,9,102,79.97234556
238,10,10,0,10,113,160.4367336
239,10,10,0,10,102,138.2894979
240,10,10,0,10,102,119.3222414
242,10,15,0,1,120,156.7622811
241,10,15,0,1,109,229.2648923
243,10,15,0,1,114,167.3348459
244,10,15,0,2,104,112.4887194
245,10,15,0,2,110,99.8125054
247,10,15,0,3,102,140.0543972
246,10,15,0,2,115,128.9801002
248,10,15,0,3,105,141.6770386
249,10,15,0,3,106,99.15524417
250,10,15,0,4,102,107.9415961
251,10,15,0,4,102,106.4710908
252,10,15,0,4,105,119.1845881
253,10,15,0,5,108,170.2398644
254,10,15,0,5,108,150.3185718
255,10,15,0,5,102,162.9865478
256,10,15,0,6,116,134.9303791
257,10,15,0,6,108,138.9611795
258,10,15,0,6,102,114.2396011
260,10,15,0,7,102,103.8243176
259,10,15,0,7,113,122.5526516
261,10,15,0,7,105,127.9977111
262,10,15,0,8,109,184.8958509
263,10,15,0,8,120,240.0936618
265,10,15,0,9,102,122.8244018
264,10,15,0,8,119,209.0441306
266,10,15,0,9,115,180.1970514
267,10,15,0,9,116,102.3284106
268,10,15,0,10,110,120.1046978
270,10,15,0,10,109,129.171364
269,10,15,0,10,104,126.2197814
271,10,20,0,1,110,180.477551
272,10,20,0,1,119,250.0678133
273,10,20,0,1,120,157.4439955
274,10,20,0,2,122,223.4029231
275,10,20,0,2,104,166.2146742
276,10,20,0,2,115,212.3446858
277,10,20,0,3,109,92.23316158
278,10,20,0,3,102,222.4065225
279,10,20,0,3,110,160.5848685
280,10,20,0,4,116,128.0858304
281,10,20,0,4,109,124.6343938
283,10,20,0,5,123,172.3005448
282,10,20,0,4,107,134.4777998
284,10,20,0,5,124,244.9549428
285,10,20,0,5,127,238.1521841
286,10,20,0,6,111,162.4269547
287,10,20,0,6,111,159.4330587
288,10,20,0,6,121,221.304653
289,10,20,0,7,114,127.4968531
290,10,20,0,7,111,126.1810817
291,10,20,0,7,110,107.9378816
292,10,20,0,8,118,125.7013221
293,10,20,0,8,114,152.5595204
294,10,20,0,8,109,189.8315138
295,10,20,0,9,106,169.5512593
296,10,20,0,9,116,167.9867447
297,10,20,0,9,108,264.4124613
298,10,20,0,10,124,201.2427126
301,10,25,0,1,107,145.9790356
300,10,20,0,10,114,177.6636635
299,10,20,0,10,112,159.8035192
302,10,25,0,1,121,213.5906899
303,10,25,0,1,106,137.3874824
304,10,25,0,2,123,191.5648532
305,10,25,0,2,130,209.9639981
306,10,25,0,2,137,232.0025301
307,10,25,0,3,128,246.2552697
308,10,25,0,3,111,212.9038496
310,10,25,0,4,107,100.8084581
309,10,25,0,3,124,237.1547524
311,10,25,0,4,111,113.3932407
312,10,25,0,4,115,96.31749494
313,10,25,0,5,118,174.9477205
314,10,25,0,5,121,150.368999
315,10,25,0,5,126,156.1764855
316,10,25,0,6,129,272.0397094
317,10,25,0,6,135,224.7436319
319,10,25,0,7,119,193.2349627
320,10,25,0,7,114,182.9619987
318,10,25,0,6,147,229.646468
321,10,25,0,7,125,172.9459601
322,10,25,0,8,125,233.0335954
323,10,25,0,8,136,356.2418868
324,10,25,0,8,116,234.1888772
325,10,25,0,9,126,276.8775742
327,10,25,0,9,120,253.6441671
326,10,25,0,9,146,242.9775486
328,10,25,0,10,114,168.2464239
329,10,25,0,10,130,190.3131618
330,10,25,0,10,120,196.0168722
331,10,30,0,1,132,357.3625985
333,10,30,0,1,127,174.960195
332,10,30,0,1,134,241.5900671
334,10,30,0,2,112,158.4310625
335,10,30,0,2,119,120.2790237
336,10,30,0,2,112,155.1541355
338,10,30,0,3,131,186.4795903
339,10,30,0,3,116,178.8524908
337,10,30,0,3,125,236.0757603
340,10,30,0,4,121,128.5869483
341,10,30,0,4,121,206.1473284
342,10,30,0,4,120,183.3291121
343,10,30,0,5,124,206.9140237
344,10,30,0,5,115,202.9746901
346,10,30,0,6,125,213.8665264
345,10,30,0,5,133,181.2992344
347,10,30,0,6,118,223.375561
348,10,30,0,6,121,245.292268
350,10,30,0,7,121,189.0558821
349,10,30,0,7,135,171.5110221
352,10,30,0,8,114,113.168409
351,10,30,0,7,112,215.313108
353,10,30,0,8,110,86.4851175
354,10,30,0,8,106,164.5306977
355,10,30,0,9,128,175.0209596
356,10,30,0,9,132,202.4771048
357,10,30,0,9,115,178.2745647
358,10,30,0,10,121,159.8825125
359,10,30,0,10,140,169.5066165
361,15,5,0,1,102,128.3684753
362,15,5,0,1,102,134.5775695
360,10,30,0,10,145,210.7220368
363,15,5,0,1,102,138.7180507
364,15,5,0,2,104,163.6617998
365,15,5,0,2,102,77.16720547
366,15,5,0,2,102,117.4505873
367,15,5,0,3,102,104.6833705
368,15,5,0,3,102,107.1650923
369,15,5,0,3,104,144.1981565
371,15,5,0,4,102,64.51885584
370,15,5,0,4,102,80.98070231
372,15,5,0,4,102,138.4472774
373,15,5,0,5,102,144.4670179
374,15,5,0,5,102,162.4333342
376,15,5,0,6,102,58.04185537
377,15,5,0,6,102,100.8570221
375,15,5,0,5,102,146.8148839
378,15,5,0,6,102,76.66329506
379,15,5,0,7,103,133.5560772
380,15,5,0,7,102,85.86206717
381,15,5,0,7,115,279.391661
382,15,5,0,8,106,252.502028
383,15,5,0,8,102,212.694303
384,15,5,0,8,102,79.53381741
385,15,5,0,9,102,106.8214615
386,15,5,0,9,102,75.9697515
387,15,5,0,9,102,93.11568318
388,15,5,0,10,102,135.5835475
389,15,5,0,10,102,143.6187095
390,15,5,0,10,102,140.0973159
392,15,10,0,1,103,158.5016658
391,15,10,0,1,119,227.9499957
394,15,10,0,2,103,265.9009301
393,15,10,0,1,103,266.7010995
395,15,10,0,2,102,200.8245734
396,15,10,0,2,103,151.9533029
397,15,10,0,3,102,138.8278257
399,15,10,0,3,102,137.5105086
400,15,10,0,4,107,159.0826533
398,15,10,0,3,104,211.8556177
401,15,10,0,4,106,182.9058156
402,15,10,0,4,102,148.5067924
403,15,10,0,5,108,147.4757344
404,15,10,0,5,102,113.2055306
405,15,10,0,5,106,94.2860812
406,15,10,0,6,106,245.5331019
407,15,10,0,6,116,207.4919218
408,15,10,0,6,110,176.2055869
409,15,10,0,7,110,282.2382249
410,15,10,0,7,131,603.2280357
411,15,10,0,7,108,162.1368504
413,15,10,0,8,115,277.9164873
412,15,10,0,8,121,275.8866779
414,15,10,0,8,103,174.6072231
415,15,10,0,9,107,132.1314489
416,15,10,0,9,103,160.039639
417,15,10,0,9,102,123.9921886
418,15,10,0,10,102,184.6375469
419,15,10,0,10,115,200.7359252
420,15,10,0,10,120,237.7374643
422,15,15,0,1,136,303.6556275
421,15,15,0,1,121,214.6256249
423,15,15,0,1,159,370.982353
424,15,15,0,2,104,151.7448587
425,15,15,0,2,128,198.8144651
427,15,15,0,3,119,215.6263251
426,15,15,0,2,143,253.660487
428,15,15,0,3,110,165.0871992
429,15,15,0,3,114,192.0991722
430,15,15,0,4,116,183.534111
432,15,15,0,4,113,244.2101209
431,15,15,0,4,125,265.655133
433,15,15,0,5,113,362.169826
434,15,15,0,5,121,247.2793819
435,15,15,0,5,113,216.3098333
436,15,15,0,6,120,210.9595545
437,15,15,0,6,127,255.5161435
438,15,15,0,6,120,192.4111077
439,15,15,0,7,115,221.3001171
441,15,15,0,7,109,146.7548987
443,15,15,0,8,139,491.6955765
442,15,15,0,8,170,649.594739
440,15,15,0,7,225,414.2094048
444,15,15,0,8,136,220.4943069
445,15,15,0,9,124,216.294202
446,15,15,0,9,120,208.3808678
448,15,15,0,10,122,183.6136348
447,15,15,0,9,112,143.1701289
449,15,15,0,10,125,196.8122482
450,15,15,0,10,107,179.0092263
451,15,20,0,1,144,467.9999971
453,15,20,0,1,118,206.4303384
452,15,20,0,1,164,330.3611493
455,15,20,0,2,125,295.4494656
456,15,20,0,2,132,249.4712529
457,15,20,0,3,118,246.7611051
458,15,20,0,3,126,247.644193
459,15,20,0,3,127,454.0124295
461,15,20,0,4,122,254.7483805
454,15,20,0,2,501,990.8805893
462,15,20,0,4,126,265.9969595
460,15,20,0,4,207,361.6852848
463,15,20,0,5,174,567.7200926
464,15,20,0,5,135,535.2563639
465,15,20,0,5,154,434.0407779
466,15,20,0,6,147,319.8747775
467,15,20,0,6,126,332.9373416
468,15,20,0,6,137,242.1420535
469,15,20,0,7,126,175.0386602
470,15,20,0,7,116,178.494586
471,15,20,0,7,118,212.0546201
472,15,20,0,8,125,204.6365298
473,15,20,0,8,206,339.1023151
474,15,20,0,8,136,315.68234
475,15,20,0,9,144,352.3102946
476,15,20,0,9,129,412.9772977
477,15,20,0,9,115,271.9708443
479,15,20,0,10,116,211.7040073
480,15,20,0,10,140,358.836019
478,15,20,0,10,164,441.6519711
481,15,25,0,1,127,204.9628064
483,15,25,0,1,142,251.1183067
482,15,25,0,1,198,449.513079
485,15,25,0,2,119,241.450135
484,15,25,0,2,142,288.2762085
487,15,25,0,3,119,248.0817118
486,15,25,0,2,172,359.5605341
488,15,25,0,3,145,339.8497016
490,15,25,0,4,134,196.7150879
491,15,25,0,4,123,239.4219645
492,15,25,0,4,131,230.7882097
493,15,25,0,5,152,371.6479654
494,15,25,0,5,194,313.8920846
495,15,25,0,5,320,428.8518056
489,15,25,0,3,501,1077.909474
499,15,25,0,7,122,292.7510375
496,15,25,0,6,501,1061.488843
500,15,25,0,7,129,251.2407707
497,15,25,0,6,501,1551.88622
502,15,25,0,8,130,302.7978272
501,15,25,0,7,217,340.337158
498,15,25,0,6,501,1694.717733
505,15,25,0,9,176,452.0925599
503,15,25,0,8,501,1272.06133
506,15,25,0,9,349,638.5782304
508,15,25,0,10,151,430.8089176
509,15,25,0,10,142,315.5603475
504,15,25,0,8,501,1541.821021
507,15,25,0,9,501,1231.155546
511,15,30,0,1,212,517.0980259
510,15,25,0,10,296,401.127421
513,15,30,0,1,124,372.3470648
514,15,30,0,2,124,226.1248118
516,15,30,0,2,124,177.4989002
515,15,30,0,2,154,187.715377
517,15,30,0,3,196,408.505033
519,15,30,0,3,142,256.4690951
518,15,30,0,3,171,500.1112943
520,15,30,0,4,142,236.2000155
521,15,30,0,4,121,220.0561004
522,15,30,0,4,133,234.983095
512,15,30,0,1,501,1616.106362
523,15,30,0,5,154,350.1094432
524,15,30,0,5,134,328.6991803
525,15,30,0,5,144,445.3299692
526,15,30,0,6,130,325.0632668
527,15,30,0,6,164,410.0573176
529,15,30,0,7,169,519.4580919
528,15,30,0,6,229,560.6750646
531,15,30,0,7,135,334.6129689
532,15,30,0,8,129,178.0915273
